id,title,type,release_year,decade,age_certification,runtime,runtime_is_missing,seasons,imdb_score,imdb_votes,tmdb_score,tmdb_popularity,has_any_rating,primary_genre,genre_count,primary_country,country_count
tm938793,I Am Woman,MOVIE,2020,2020,Not Rated,116,0,,6.5,2296.0,6.9,15.377,1,drama,4,AU,1
tm897732,Bigfoot Family,MOVIE,2020,2020,G,97,0,,5.8,2723.0,7.1,12.91,1,animation,2,BE,2
ts225460,Freud,SHOW,2020,2020,TV-MA,53,0,1.0,,,7.4,11.518,1,drama,1,DE,2
tm924991,Death of Me,MOVIE,2020,2020,R,95,0,,4.4,6176.0,5.0,36.207,1,horror,2,US,2
ts277126,Black Space,SHOW,2020,2020,TV-MA,46,0,2.0,6.7,1834.0,7.3,4.268,1,crime,3,IL,1
ts110703,Interior Design Masters,SHOW,2019,2010,Not Rated,54,0,3.0,6.4,1420.0,6.9,3.167,1,reality,1,GB,1
ts84129,No Good Nick,SHOW,2019,2010,TV-PG,29,0,2.0,5.9,2920.0,7.1,11.386,1,comedy,3,US,1
tm893799,Lost Bullet,MOVIE,2020,2020,Not Rated,92,0,,6.3,9479.0,6.7,12.144,1,thriller,3,BE,2
ts237104,History 101,SHOW,2020,2020,TV-PG,22,0,2.0,6.8,4100.0,7.0,7.172,1,documentation,2,GB,1
tm430171,Screwball,MOVIE,2019,2010,Not Rated,105,0,,7.1,1713.0,6.2,4.692,1,history,2,US,1
tm848996,Tigertail,MOVIE,2020,2020,PG,91,0,,6.6,3589.0,6.9,6.618,1,drama,1,US,1
tm846964,A Fall from Grace,MOVIE,2020,2020,Not Rated,120,0,,5.8,15341.0,7.091,13.235,1,thriller,3,US,1
tm902330,Ghosts of War,MOVIE,2020,2020,R,94,0,,5.5,9953.0,6.0,37.368,1,war,4,GB,1
tm450478,Under the Eiffel Tower,MOVIE,2019,2010,Not Rated,87,0,,5.4,1031.0,5.9,4.634,1,romance,2,US,1
ts89583,Trailer Park Boys: The Animated Series,SHOW,2019,2010,TV-MA,25,0,2.0,7.5,2983.0,7.3,12.449,1,animation,2,CA,1
ts238242,The Great Heist,SHOW,2020,2020,TV-MA,42,0,1.0,7.3,2561.0,7.3,22.871,1,crime,3,CO,1
tm826563,A Cinderella Story: Christmas Wish,MOVIE,2019,2010,PG,93,0,,5.3,,6.4,22.154,1,music,4,US,1
tm500565,Friendsgiving,MOVIE,2020,2020,R,95,0,,4.4,2875.0,4.6,6.446,1,comedy,2,US,1
