person_id,name,role,title_count,avg_imdb_score,avg_tmdb_score
1163,Vincent Hogarth,ACTOR,1,6.8,6.56
1165,Caitlin Burt,ACTOR,1,6.8,6.56
1166,Christopher Hohman,ACTOR,1,6.8,6.56
1167,Rich Vreeland,ACTOR,1,6.8,6.56
1168,David Robert Mitchell,DIRECTOR,1,6.8,6.56
1179,Kristen Stewart,ACTOR,1,6.1,6.1
1181,Robert Pattinson,ACTOR,2,7.15,7.25
1182,Peter Facinelli,ACTOR,3,5.4,6.2
1182,Peter Facinelli,DIRECTOR,1,5.7,6.0
1183,Taylor Lautner,ACTOR,2,5.4,5.98
1184,Elizabeth Reaser,ACTOR,4,6.83,7.02
1186,Ashley Greene,ACTOR,2,4.8,6.25
1188,Kellan Lutz,ACTOR,3,4.7,5.97
1189,Nikki Reed,ACTOR,1,5.2,5.4
1190,Billy Burke,ACTOR,3,6.8,6.87
1191,Dakota Fanning,ACTOR,5,5.94,6.51
1192,Jamie Campbell Bower,ACTOR,1,8.7,8.64
1193,Mackenzie Foy,ACTOR,1,7.5,7.53
1194,Michael Sheen,ACTOR,5,7.1,6.88
1197,Christopher Heyerdahl,ACTOR,3,6.63,6.77
1198,MyAnna Buring,ACTOR,2,6.95,7.25
1199,Julia Jones,ACTOR,2,6.25,6.29
1200,Booboo Stewart,ACTOR,2,6.85,6.85
1202,Bill Tangradi,ACTOR,1,7.7,7.3
1203,Christian Camargo,ACTOR,1,7.5,7.3
1204,Daniel Cudmore,ACTOR,1,5.6,6.7
1207,Rami Malek,ACTOR,3,6.57,6.53
1223,Chadwick Boseman,ACTOR,7,6.8,6.64
1224,T.R. Knight,ACTOR,1,7.5,7.1
1225,Harrison Ford,ACTOR,4,7.28,6.95
1227,Nicole Beharie,ACTOR,1,7.5,7.1
1230,Christopher Meloni,ACTOR,5,7.08,6.66
1231,John C. McGinley,ACTOR,4,7.1,7.66
1232,Ryan Merriman,ACTOR,1,7.5,7.1
1233,Jud Tylor,ACTOR,1,7.5,7.1
1234,Brett Cullen,ACTOR,4,7.3,7.05
1237,Brad Beyer,ACTOR,1,7.5,7.1
1238,Lucas Black,ACTOR,1,7.5,7.1
1239,André Holland,ACTOR,4,6.88,6.46
1240,Alan Tudyk,ACTOR,1,7.5,7.1
1241,Hamish Linklater,ACTOR,3,6.9,6.9
1244,James Pickens Jr.,ACTOR,3,7.53,7.63
1245,Gino Anthony Pesi,ACTOR,1,7.5,7.1
1246,Brian Helgeland,DIRECTOR,2,7.2,7.04
1247,Kelley Jakle,ACTOR,1,7.5,7.1
1253,Thomas Tull,ACTOR,1,8.4,7.77
1261,Kate Winslet,ACTOR,4,7.15,7.14
1268,Diana Kent,ACTOR,1,6.6,7.5
1269,Clive Merrison,ACTOR,1,7.3,7.5
1290,Shane Baumel,ACTOR,1,6.9,6.6
1294,Eugene Levy,ACTOR,3,7.33,7.57
1297,Hailey Noelle Johnson,ACTOR,1,5.8,5.1
1303,Jessie Flower,ACTOR,1,9.3,8.7
1304,Ariel Winter,ACTOR,3,6.83,6.83
1305,Drew Barrymore,ACTOR,3,6.0,6.3
1308,Billy West,ACTOR,1,7.2,7.56
1309,David Cross,ACTOR,9,7.15,6.98
1314,Ed O'Ross,ACTOR,2,5.95,6.55
1315,Michael Sorich,ACTOR,3,5.55,7.15
1321,Matthew O'Callaghan,DIRECTOR,1,,5.8
1324,Ron Howard,ACTOR,1,8.7,8.04
1324,Ron Howard,DIRECTOR,2,7.4,7.25
1339,Shahid Kapoor,ACTOR,13,6.47,6.25
1340,Anushka Sharma,ACTOR,5,6.6,6.74
1344,Vir Das,ACTOR,11,5.84,6.26
1344,Vir Das,DIRECTOR,2,7.05,7.55
1345,Anupam Kher,ACTOR,19,6.05,6.38
1346,Kiran Juneja,ACTOR,3,6.47,6.85
1347,Pavan Malhotra,ACTOR,7,6.56,6.59
1348,Jameel Khan,ACTOR,2,6.7,6.65
1350,Parmeet Sethi,ACTOR,5,6.02,5.76
1352,Pritam Chakraborty,ACTOR,1,7.4,6.4
1353,Sara Serraiocco,ACTOR,1,6.2,6.2
1356,Giorgio Colangeli,ACTOR,1,,5.7
1366,Lauren Bacall,ACTOR,1,6.2,6.3
1372,William Levy,ACTOR,1,5.5,5.9
1376,Iván Sánchez,ACTOR,1,6.4,7.1
1387,Manuel Ojeda,ACTOR,2,7.0,6.8
1388,Mariana Seoane,ACTOR,1,6.9,7.0
1391,Vanessa Redgrave,ACTOR,5,7.5,7.27
1393,Monica Bellucci,ACTOR,1,6.6,6.8
1395,David Strathairn,ACTOR,3,6.8,6.75
1396,Benedict Cumberbatch,ACTOR,6,6.8,6.8
1397,Luke Treadaway,ACTOR,1,6.6,6.8
1398,Liam Cunningham,ACTOR,3,5.85,4.9
1406,Alin Panc,ACTOR,1,5.1,5.3
1421,Marcel Hensema,ACTOR,1,7.4,6.9
1436,Mario Adorf,ACTOR,1,5.0,5.2
